AGENCY NAME,AGENCY ADDRESS,PHONE,COUNTY,CALTRANS DIST,CONTACT,TITLE, EMAIL
"North of the River Recreation 
and Park District","405 Galaxy
Bakersfield, CA 93308",(661) 392-2035,Kern,6.0,Joe West,Transportation Supervisor,jwest@norrecation.org
Lake Transit Authority,"9055 Highway 53
Lower Lake, CA 95457",(707) 263-7868,Lake,1.0,Mark Wall,,mark@markwall.com
Lassen Senior Services,"1700 Sunkist Drive
Susanville, CA 96130",(530) 257-2113,Lassen,2.0,Penny Artz,Executive Director,executivedirector@lassenseniorservices.org
Lassen Transit Services Agency,"707 Nevada Street, Suite 4
Susanville, CA 96130",(530) 251-8288,Lassen,2.0,David Knaut,,dknaut@co.lassen.ca.us
"Access Services, Inc.","P.O. Box 71684 
Los Angeles, CA 90071",(213) 270-6080,Los Angeles,7.0,Andre Colaiace,Executive Director,Colaiace@asila.org
Madera County Transportation Commission,"2001 Howard Road, Suite 201
Madera, CA 93637",(559) 675-0721,Madera,6.0,Amelia Davies,Associate Regional Planner,amelia@maderactc.org
Mendocino Transit Authority,"241 Plant Road
Ukiah, CA 95482",(707) 462-1422,Mendocino,1.0,Carla Meyer,General Manager,carla@mendocinotransit.org
Transit Joint Powers Authority for Merced County,"369 W. 18th Street
Merced, CA 95340",(209) 723-3100 Ext. 509,Merced,10.0,Rich Green,Transit Manager,rich.green@mercedthebus.com
MOVE,"3500 Coffee Road, Suite 19
Modesto, CA 95355",(209) 522-2300,Modesto,10.0,Stacie Morales,Executive Director,staciem@movestanislaus.org
Modoc Transportation Agency/Sage Stage,"P.O. Box 999
Alturas, CA 96101-3519",(530) 233-6422,Modoc,2.0,Pam Couch,,couch@hdo.net
Monterey-Salinas Transit,"201 Pearl Street
Monterey, CA 93940",(831) 241-9994,Monterey,5.0,Kevin Allshouse,Mobility Speacialist,kallshouse@mst.org
Transportation Agency for Monterey County,55-B Plaza Circle                                          Salinas 93901-2902,(831) 775-4412,Monterey,5.0,Walt Allen,,Walt@tamcmonterey.org
"Napa County Transportation 
Planning Agency","707 Randolph Street, Suite 100
Napa, CA 94559",(707) 259-8778,Napa,4.0,Deborah Brunner,,DBRUNNER@co.napa.ca.us
County of Nevada,"950 Maidu Avenue
Nevada City, CA 95959-8617",(530) 477-0103,Nevada,3.0,Bill Derrick,,billderrick@co.nevada.ca.us
Gold Country LIFT,"900 Whispering Pines Lane, Suite 210
Grass Valley, CA 95945",(530) 271-7433,Nevada,3.0,Susan Healy-Harman,,healy49@hotmail.com
Orange County Transportation Authority,"P.O. Box 14184
Orange, CA 92863-1584","(714) 560-6282 
(714) 560-5718",Orange,12.0,Dan Wiemiller,,dwiemiller@octa.net
Western Placer Consolidated Transportation Services Agency,"299 Nevada Street
Auburn, CA 95603",(530) 823-4030,Placer,3.0,David Melko,Senior Planner,dmelko@pctpa.net
Plumas County Transportation Commission,"1834 E. Main Street
Quincy, CA 95971",(530) 283-6492,Plumas,2.0,Martin Bryne,,
Riverside Transit Agency,"1825 Third Street
P.O. Box 59968
Riverside, CA 92517",951-565-5000 ,Riverside,8.0,Larry Rubio,Chief Executive Officer,lrubio@riversidetransit.com
Sunline Transit Agency,32-505 Harry Oliver Trail                          Thousand Palms 92276,(760) 343-3456,Riverside,8.0,Eunice Lovi,,elovi@sunline.org
"Paratransit, Inc.","P.O, Box 231100
Sacramento, CA 95822",(916) 429-2009,Sacramento,3.0,Bill Durant,,bill@paratransit.org
"San Benito County Local 
Transportation Authority",3216 Southside Road                            Hollister 95023,(831) 637-7665,San Benito,5.0,Mary Dinkuhn,,mdinkuhn@sanbenitocog.org
Omnitrans,"1700 W Fifth Street
San Bernardino, CA 92411",(909) 379-7213,San Bernardino,8.0,Doug Stanley,"Director of Special Transit
Services",Doug.Stanley@omnitrans.org
Full Access & Coordinated Transportation Inc. ,"600 Mission Ave.
Oceanside, CA 92054",(760) 754-1252,San Diego,11.0,Arun Prem,Executive Director,aprem@factsd.org
UCP Ride-On Transportation ,"3620 Sacramento Drive Suite 201-B 
San Luis Obispo, CA 93401",(805) 541-8751,San Luis Obispo,5.0,Mark Shaffer,,shafmt@aol.com
Coastside Opportunity Center Inc.,"P.O. Box 1089
El Grenada, CA 94018","(650) 726-9071 ext. 17
(650) 576-8991 (cell)",San Mateo,4.0,Cheri Parr,,CheriParr2003@yahoo.com
Easy Lift Transportation Inc.,"53 Cass Place, Suite D
Goleta, CA 93117",(805) 681-1410,Santa Barbara,5.0,Ernesto Parades,Executive Director,ernesto@easylift.org
Community Bridges Lift Line,"236 Santa Cruz Avenue
Aptos, CA 95003",(831) 688-8840 ext. 244,Santa Cruz,5.0,Catherine Patterson-Valdez,,CatherineP@cbridges.org
Santa Maria Organization of Transportation Helpers (SMOOTH),"240 East Roemer Way
Santa Maria, CA 93454",(805) 922-8476,Santa Maria,5.0,Jim Talbott,Executive Director,smoothinc_@hotmail.com
Dignity Health Connected Living,"100 Mercy Oaks Dr.
Redding, CA 96003",(530) 226-3060,Shasta,2.0,Jennifer Powell,Executive Director,Jennifer.powell2@DignityHealth.org
"Siskiyou County Local 
Transportation Commission ","190 Greenhorn Road
Yreka, CA 96097",(530) 842-8220,Siskiyou,2.0,Melissa Cummins,Executive Director,mcummins@co.siskiyou.ca.us
Solano Transportation Authority,"One Harbor Center, Suite 130
Suisun City, CA 94585-2427",(707) 424-6075,Solano,4.0,Daryl K. Halls,Executive Director,dkhalls@sta.ca.gov
Stanislaus Counsel of Governments,900 H Street Suite D                                Modesto 95354,(209) 558-4841,Stanislaus,10.0,Lark Downs,,larkdowns@stancog.org
Tehama County Transportation Commission,9380 San Benito Avenue                                 Gerber 96035-9702,(530) 385-1462 Ext.3017,Tehama,2.0,,,
Trinity County Transportation Commission,"P.O. Box 2490
Weaverville, CA 96093",(530) 623-1365,Trinity,2.0,Richard Tippett ,Executive Secretary,rtippett@trinitycounty.org 
Tuolumne County Board of Supervisors,2 South Green Street                                     Sonora 95370,(209) 533-5601,Tuolumne,10.0,Peter Rei,,prei@tuolumne.ca.us
Ventura County Transportation Commission,"950 County Square Drive Suite 207                 Ventura, CA 93003",(805) 642-1591 Ext. 114,Ventura,7.0,Sue Munday,,smunday@goventura.org
