"Paratransit, Inc.",ITP_ID,NTD ID,Legacy NTD ID,Kate Review,review comments,PTO trips data inclusion,PTO trips data text info,annual ridership,Only aggregate data,Commuter Bus,Demand Response,Demand response- taxi,Bus,Rail,Other,Source,Year,Link,revenue link (if different source than data source),2017 fare revenue total----,Commuter Bus fare revenue,Demand Response fare revenue,Demand response- taxi fare revenue,Bus Rapid Transit Fare revenue,Bus fare revenue,Commuter rail fare revenue,Heavy rail fare revenue,Light Rail fare revenue,Other modes fare revenue,Other Description,STA1,STA2,Contacted,Trillium client,Agency Acronym,Administering entity,Admin Acronym,Reporter Status,Reporter Type,TypeCode,Reporting Module,Organization Type,Reported By NTD ID,Reported by Name,Subrecipient Type,FY End Date,Original Due Date,Address Line 1,Address Line 2,P.O. Box,Associated Transit Organizations,Agency Notes,Service area density,City,State,Zip Code,Zip Code Ext,Region,URL,FTA Recipient ID,Duns Number,Service Area Sq Miles,Service Area Pop,Primary UZA,UZA Name,Tribal Area Name,Population,Density,Sq Miles,VOMS DO,VOMS PT,Total VOMS,Volunteer Drivers,Personal Vehicles,Operates Transit (Y/N),Potential for GTFS static (Y/N),Transit type,Free fare on fixed-route (Y/N),Fares based on route (Y/N),Fares based on zone (Y/N),Flat fares (Y/N),Reduced fare,Reduced fare categories,Category notes,Transfers Allowed (Y/N),Transfer Time,Transfer Fee (Y/N),Transfers notes,Interagency Transfers (Y/N/?),Interagency transfer notes,Pass times/trips,Pass notes,Reservations (Y/N),Group/school trip Discount (Y/N),Ticket/Pass Sales Methods,Payment Accepted,Ticket Media,Electronic fare program,Ticket validation,Bike fee,Cheaper base fare w/ smartcard (Y/N),Reg/Adult Ticket Price Min,Reg/Adult Ticket Price Max,Pass Price Min,Pass Price Max,Fare capping,GTFS,Real-time status,GTFS Service Alerts,# of fixed routes,GTFS fares (Y/N),GTFS+ Fares (Y/N),Operates Paratransit,Paratransit fare URL,Operates Demand Response,Demand Response fare URL,T_Company,T_Background,T_Tags,T_Phone,T_Email,T_URL,T_URL_Other,T_Created,T_Last_Updated,T_Added by,T_Live in Google Maps,T_NTD ID,T_Number of Routes,T_Trillium client,T-Farebox Ratio % - Year,T_OPEX,Source,County,OPM_ID (DRMT),Local Commission,Metropolitan Planning Organization,Regional Transportation Planning Authority,Caltrans District (int),Caltrans District (string),Combined Address,Street Address,City,Zip,Lat,Long
Tri Delta Transit,336,90162,9162,x,,1,,"2,358,027",,,"125,558",,"2,232,469",,,TDT 2018 Financial Statement,2018,http://trideltatransit.com/pdf/ECCTA_Basic_Financial_Statement_2018and2017.pdf,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90162.pdf,"$3,023,214",,"$411,050",,,"$2,612,164",,,,,,Metropolitan Transportation Commission,,Y,,TDT,Eastern Contra Costa Transit Authority,ECCTA,Active,Full Reporter,,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2017,10/31/2017,801 Wilbur Avenue,,,,,Urban,Antioch,CA,94509,7500,9,http://www.trideltatransit.com/,5617,27206556,225,"306,000",137,"Antioch, CA",,"277,634","3,412",81,,78,78,,,Y,Y,"busfixedroute, paratransit",,Y,N,N,Y,"age65over, disabled, medicare, age0-5",age0-5 is free,N,,,,Y,http://trideltatransit.com/transfer_2009.aspx?nav=2011_side_nav_fares,"1day, 31day, 20trip",,,,"onboardbus, online, phone, vendor, kiosk, station","cash, card, benefit","Clipper, customcard",Clipper,"fareboxtap, magstrip",,N,2.00,2.5,3.75,57,,http://70.232.147.132/rtt/public/utility/gtfs.aspx,1,,,N,N,Y,http://trideltatransit.com/fares.aspx,,,,,,,,,,,,,,,,,,,NTD,Contra Costa,407002,Contra Costa Transportation Authority,Metropolitan Transportation Commission,Metropolitan Transportation Commission,4,04 - Oakland,"801 Wilbur Avenue, Antioch, CA, 94509",801 Wilbur Avenue,Antioch,94509,38.012907,-121.793306
Tideline,338,,,x,,3,Private company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tideline,,,,,,,,,,,,,,,,,Urban,San Francisco,CA,,,,https://tidelinetickets.com/,,,,,,,,,,,,,,,,Y,Y,ferry,,Y,N,N,N,withbike,withbike is a higher fare,,,,,,,"monthly, 10ride",,Y,,online,,,,,"Bikes ride free on our weekday commuter shuttles; $5 each at other times (cruises, private charters, etc.).",,3.00,12.5,90,320,,http://data.trilliumtransit.com/gtfs/tidelinewatertaxi-ca-us/tidelinewatertaxi-ca-us.zip,4,,,N,N,,,,,Tideline Water Taxi,,"client-gtfs, ferry, referral-swiftly",,,,,2016-03-02 20:43:12,2018-12-26 17:24:13,Aaron Antrim,Y,,1,Y,,,Trillium contact,San Francisco,,Metropolitan Transportation Commission,Metropolitan Transportation Commission,Metropolitan Transportation Commission,4,04 - Oakland,,,,,,
Union City Transit,350,90161,9161,x,,1,,"298,577",,,"21,375",,"277,202",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90161.pdf,,"$343,444",,"$54,929",,,"$288,515",,,,,,Metropolitan Transportation Commission,,Y,,UCT,"Union City, City of",,Active,Reduced Reporter,,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,34009 Alvarado-Niles Road,,,,,Mix,Union City,CA,94587,,9,http://www.uctransit.org/,5651,4939732,18,"73,452",13,"San Francisco-Oakland, CA",,"3,281,212","6,266",524,,18,18,,,Y,Y,"busfixedroute, paratransit",,N,N,Y,Y,"age65over, disabled, medicare, age6-18, age0-5",age0-5 free,Y,90min,N,,Y,"BART, ACTransit, Dumbarton Express",31day,,,,"onboardbus, tcenter, kiosk, online, phone, mail, vendor",cash,Clipper,Clipper,fareboxtap,,N,2.00,2,55,55,,https://data.trilliumtransit.com/gtfs/unioncity-ca-us/unioncity-ca-us.zip,2,,,,,Y,https://www.unioncity.org/172/Paratransit,,,,,,,,,,,,,,,,,,,NTD,Alameda,401005,Alameda County Transportation Commission,Metropolitan Transportation Commission,Metropolitan Transportation Commission,4,04 - Oakland,"34009 Alvarado-Niles Road, Union City, CA, 94587",34009 Alvarado-Niles Road,Union City,94587,37.587175,-122.027254
USDA Forest Service Southwest Region,354,,,,,8,No Data ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USDA Forest Service,,,,,,,,,,,,,,,,CAR-LESS provided a one-time grant to the Angeles National Forest and San Gabriel National Mountains Monument to study the feasibility to implement a short-term pilot shuttle that would provide alternative transportation into heavily recreated forest areas.,Mix,Vallejo,CA,,,,https://www.fs.usda.gov/detail/r5/workingtogether/?cid=STELPRDB5373419,,,,,,,,,,,,,,,,Y,N,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USDA Forest Service Southwest Region,,,,,,,2013-04-16 18:29:25,2017-06-26 19:09:03,Matt Gridley,NA,,,NA,,,Trillium contact,*Solano,,Solano Tranportation Authority,Metropolitan Transportation Commission,Metropolitan Transportation Commission,4,04 - Oakland,,,,,,
Vacaville City Coach,356,90155,9155,x,,1,,"449,010",,,"16,340",,"432,670",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90155.pdf,,"$359,048",,"$32,756",,,"$326,292",,,,,,Metropolitan Transportation Commission,,Y,Y,City Coach,"Vacaville, City of",,Active,Reduced Reporter,,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,650 Merchant Street,,,,,Mix,Vacaville,CA,95688,,9,http://www.citycoach.com/,5601,625109095,27,"93,141",314,"Vacaville, CA",,"93,141","3,398",27,,15,15,,,Y,Y,"busfixedroute, paratransit",,N,N,Y,Y,"age65over, age6-18, age0-5, disabled, medicare",,N,,,,Y,with Clipper,"1day, halfmonth, monthly, 30ride",,,,"onboardbus, tcenter, kiosk, online, phone, mail, vendor","cash, card, benefit",Clipper,Clipper,,,N,1.50,1.5,3.25,36,,http://data.trilliumtransit.com/gtfs/vacavillecitycoach-ca-us/vacavillecitycoach-ca-us.zip,2,,,Y,Y,Y,http://www.citycoach.com/fares/,,,Vacaville City Coach,,"client-gtfs, NextBus, AVL, suspect-swiftly, bay_area",,,http://www.citycoach.com/,,2008-12-27 22:57:03,2018-05-01 21:10:18,,N,90155,6,Y,,,NTD/Trillium contact,Solano,448005,Solano Tranportation Authority,Metropolitan Transportation Commission,Metropolitan Transportation Commission,4,04 - Oakland,"650 Merchant Street, Vacaville, CA, 95688",650 Merchant Street,Vacaville,95688,38.351272,-121.994357
West Berkeley Shuttle,365,,,x,,5,no fare charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Berkeley, City of",,,,,,,,,,,,,,,,Funded by Berkeley Gateway Transportation Management Association,Mix,Berkeley,CA,,,,http://westberkeleyshuttle.net/,,,,,,,,,,,,,,,,Y,Y,busfixedroute,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not in Google,6,,1,,,,,,,West Berkeley Shuttle,Connects to AC Transit and BART,"mobi, propsent-gtfs",,,,,2016-03-18 18:45:21,2019-02-01 20:09:41,Seth Churnside,N,,1 (AM & PM) to/from Ashby BART Station,N,,,Trillium contact,Alameda,,Alameda County Transportation Commission,Metropolitan Transportation Commission,Metropolitan Transportation Commission,4,04 - Oakland,,,,,,
WestCAT,368,90159,9159,x,,1,2014/15 SRTP http://www.westcat.org/wp-content/uploads/2016/06/Short-Range-Transit-Plan-Public-FINAL.pdf,"1,254,815",,"271,151","42,406",,"941,258",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90159.pdf,,"$2,212,012","$1,116,145","$57,207",,,"$1,038,660",,,,,,Metropolitan Transportation Commission,,Y,Y,WestCAT,Western Contra Costa Transit Authority,WCCTA ,Active,Full Reporter,,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2017,10/31/2017,601 Walter Avenue,,,,,Urban,Pinole,CA,94564,,9,http://www.westcat.org/,5624,103429301,20,"64,925",13,"San Francisco-Oakland, CA",,"3,281,212","6,266",524,,50,50,,,Y,Y,"busfixedroute, paratransit",,Y,N,N,Y,"age0-5, age65over, disabled, medicare, veteran",,Y,1hr,Y,transfer fee to Lynx route only,Y,"BART, SolTrans, AC Transit, FAST, and Golden Gate Transit. County Connection and Tri-Delta Transit at shared stops in Martinez. Clipper.","1day, 10ride, 31day,",,,,"onboardbus, tcenter, kiosk, online, phone, mail, vendor","cash, card, benefit",Clipper,Clipper,,,N,1.75,5,3.5,140,,http://data.trilliumtransit.com/gtfs/westcat-ca-us/westcat-ca-us.zip,1,,,Y,Y,Y,http://www.westcat.org/fares/,,,,,,,,,,,,,,,,,,,NTD,Contra Costa,407003,Contra Costa Transportation Authority,Metropolitan Transportation Commission,Metropolitan Transportation Commission,4,04 - Oakland,"601 Walter Avenue, Pinole, CA, 94564",601 Walter Avenue,Pinole,94564,38.005923,-122.311698
SolanoExpress,381,,,x,,4,Routes are operated by Fairfield and Suisun Transit and Solano county transit ,,,,,,,,,,,,,,,,,,,,,,,,Metropolitan Transportation Commission,,Y,Y,,Solano Transportation Authority,STA,,,,,,,,,,,,,,"FAST, SolTrans","SolanoExpress provides express intercity bus service throughout Solano County. Individual routes are operated by Fairfield and Suisun Transit (FAST) and Solano County Transit (SolTrans). SolanoExpress is managed by the Solano Transportation Authority (STA), which handles the Call Center",Mix,Suisun City,,,,,https://www.solanoexpress.com/,,,,,,,,,,,,,,,,Y,Y,busfixedroute,,N,Y,N,Y,"age65over, disabled, medicare, ADAcard, age6-18, age0-5",age0-5 free,N,,,,Y,Vacaville City Coach only,"1day, 31day",,,,"onboardbus, vendor, mail,",,customcard,,,,,2.75,5.75,5.5,130,,http://data.trilliumtransit.com/gtfs/soltrans-ca-us/soltrans-ca-us.zip,2,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,Solano,448009,Solano Tranportation Authority,Metropolitan Transportation Commission,Metropolitan Transportation Commission,4,04 - Oakland,"1 Harbor Center, Suisun City, CA, 94585",1 Harbor Center,Suisun City,94585,38.241767,-122.039838
Santa Cruz Metropolitan Transit District,296,90006,9006,x,,1,Data provided by NTD is the same (aggregated) as reported in budget report: http://www.scmtd.com/images/department/finance/financials/finaloperatingbudgetfy19fy20.pdf Agency reports unlinked trips as ridership totals,,,"303,667","71,189","3,927","4,787,727",,,NTD,2018,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90006.pdf,,"$9,216,906","$1,644,388","$290,282","$8,224",,"$7,274,012",,,,,,Santa Cruz County Transportation Commission,,Y,,SCMTD,Santa Cruz Metropolitan Transit District,SCMTD,Active,Full Reporter,,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2017,10/31/2017,110 Vernon Street,,,,,Mix,Santa Cruz,CA,95060,,9,http://www.scmtd.com/,1675,92207398,446,"274,146",204,"Santa Cruz, CA",,"163,703","2,806",58,109,3,112,,,Y,Y,"busfixedroute, paratransit",,Y,N,N,Y,"age62over, age0-17, childunder46in, disabled, medicare",childunder46in free,N,,,,Y,http://www.scmtd.com/en/fares/transfer-policy,"1day, 3day, 7day, 31day, 15ride ",,,,"online, mail, vendor, station, kiosk","cash, card, check","paper, customcard",,"visual, magstrip",,,2.00,7,6,94,,http://scmtd.com/google_transit/google_transit.zip,5,Y,,Y,N,Y,http://www.scmtd.com/en/metro-paracruz/general-info,,,,,,,,,,,,,,,,,,,NTD,Santa Cruz,544002,Santa Cruz County Regional Transportation Commission,Association of Monterey Bay Area Governments,Santa Cruz County Regional Transportation Commission,5,05 - San Luis Obispo,"110 Vernon Street, Santa Cruz, CA, 95060",110 Vernon Street,Santa Cruz,95060,36.990706,-122.032702
Santa Barbara Metropolitan Transit District,293,90020,9020,x,,1,,"6,425,839",,,,,"6,425,839",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90020.pdf,,"$7,205,297",,,,,"$7,205,297",,,,,,Santa Barbara County Association of Governments,,Y,,SBMTD,Santa Barbara Metropolitan Transit District,SBMTD,Active,Full Reporter,,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2017,10/31/2017,550 Olive Street,,,,,Urban,Santa Barbara,CA,93101,1610,9,http://www.sbmtd.gov/,1673,57362535,52,"199,668",184,"Santa Barbara, CA",,"195,861","3,507",56,87,,87,,,Y,Y,busfixedroute,,Y,N,N,Y,"studentk-12, age62over, disabled, medicare, childunder45in, college","childunder45in free, college is free for eligible schools",Y,1hr,N,,Y,Amtrak Pacific Surfliner and VCTC,"1day, 30day, 10ride, ",,,,"onboardbus, mail, vendor, tcenter","cash, card","token, customcard",,"farebox, magstrip",,,0.50,1.75,1,52,,http://sbmtd.gov/google_transit/feed.zip,5,,,Y,N,N,,,,,,,,,,,,,,,,,,,,NTD,Santa Barbara,542004,Santa Barbara County Association of Governments,Santa Barbara County Association of Governments,Santa Barbara County Association of Governments,5,05 - San Luis Obispo,"550 Olive Street, Santa Barbara, CA, 93101",550 Olive Street,Santa Barbara,93101,34.422969,-119.690483
Monterey-Salinas Transit,208,90062,9062,x,,1,,"4,635,954",,,"183,565",,"4,452,389",,,MST About page overview,2018,https://mst.org/about-mst/overview/,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90062.pdf,"$10,370,501","$1,264,987","$480,304",,,"$8,625,210",,,,,,Transportation Agency for Monterey County,,Y,,MST,Monterey-Salinas Transit,MST,Active,Full Reporter,,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2017,10/31/2017,One Ryan Ranch Road,,,,Monterey-Salinas Transit (MST) rolled out its “On Call” service in the cities of Greenfield and King City,Urban,Monterey,CA,93940,5795,9,http://www.mst.org/,1688,73957813,294,"435,232",276,"Seaside-Monterey, CA",,"114,237","2,952",39,57,53,110,,,Y,Y,"busfixedroute, paratransit",,Y,N,N,Y,"disabled, medicare, veteran, age65over, age0-18, childunder46in, veteranplus, institution","childunder46in is free, veteranplus is spouse/caregiver, institution for group pass",N,,,,Y,https://mst.org/riders-guide/transit-connections/,"1day, 7day, 31day, summeryouth",summeryouth is for youth during summer months only,,,"online, phone, mail, vendor, ","cash, card",customcard,,fareboxtap,,,0.00,12,10,190,,http://www.mst.org/google/google_transit.zip,1,Y,,Y,N,Y,https://mst.org/mobility/ada-paratransit-rides/,N,,,,,,,,,,,,,,,,,,NTD,Monterey,527001,Transportation Agency for Monterey County,Association of Monterey Bay Area Governments,Transportation Agency for Monterey County,5,05 - San Luis Obispo,"19 Upper Ragsdale Drive, Monterey, CA, 93955",19 Upper Ragsdale Drive,Monterey,93955,36.57641,-121.8097
Santa Maria Area Transit,298,90087,9087,x,,1,calculated from NTD and 2013 ridership data,"732,086",,,"27,799",,"704,287",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90087.pdf,,"$728,089",,"$12,113",,,"$715,976",,,,,,Santa Barbara County Association of Governments,,Y,,SMAT,"Santa Maria, City of",,Active,Full Reporter,,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,110 South Pine Street,Suite 101,,,,Mix,Santa Maria,CA,93458,5082,9,https://www.cityofsantamaria.org/city-government/departments/public-works-services/public-transit-services-2499,1870,99992505,34,"120,097",246,"Santa Maria, CA",,"130,447","4,479",29,,25,25,,,Y,Y,"busfixedroute, paratransit",,N,N,Y,Y,"age60over, disabled, medicare, age0-6, childunder46in, student",,Y,1hr,N,,Y,Can transfer from Breeze but not to Breeze,"storedvalue10, storedvalue20, monthly",,,,"onboardbus, tcenter, vendor",,customcard,,,,,1.50,1.5,10,48,,http://data.trilliumtransit.com/gtfs/smat-ca-us/smat-ca-us.zip,4,,,Y,N,Y,https://www.cityofsantamaria.org/city-government/departments/public-works-services/public-transit-services-2499#SMAT%20schedules,,,,,,,,,,,,,,,,,,,NTD,Santa Barbara,542005,Santa Barbara County Association of Governments,Santa Barbara County Association of Governments,Santa Barbara County Association of Governments,5,05 - San Luis Obispo,"110 S Pine Street, Santa Maria, CA, 93458",110 S Pine Street,Santa Maria,93458,34.95221,-120.438694
The Breeze Bus,392,90087,9087,x,,4,Included with Santa Maria Area Transit,,,,,,,,,,,,,,,,,,,,,,,,Santa Barbara County Association of Governments,,,,Breeze,"Santa Maria, City of",,Active,Full Reporter,,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,110 South Pine Street,Suite 101,,,,Mix,Santa Maria,CA,93458,5082,9,http://www.breezebus.com/,1870,99992505,34,,246,"Santa Maria, CA",,"130,447","4,479",29,,25,25,,,Y,Y,commuterbus,,N,N,Y,Y,"age60over, disabled, medicare, age0-6, childunder46in, student, ADAcard",,Y,1hr,N,,Y,http://www.breezebus.com/fares.html,"storedvalue10, storedvalue20, monthly",,,,"onboardbus, tcenter, vendor",,customcard,,,,,2.00,2,10,75,,Not in Google,6,,2,,,N,,,,,,,,,,,,,,,,,,,,NTD,Santa Barbara,542005,Santa Barbara County Association of Governments,Santa Barbara County Association of Governments,Santa Barbara County Association of Governments,5,05 - San Luis Obispo,"110 S Pine Street, Santa Maria, CA, 93458",110 S Pine Street,Santa Maria,93458,34.95221,-120.438694
City of Lompoc Transit,169,90149,9149,x,,1,,"275,542",,"174,031","7,983",,"93,528",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90149.pdf,,"$1,022,090","$867,511","$14,489",,,"$140,090",,,,,,Santa Barbara County Association of Governments,,Y,,COLT,"Lompoc, City of",,Active,Reduced Reporter,,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,100 Civic Center Plaza,,8001,,Wine Country Express,Rural,Lompoc,CA,93438,8001,9,http://www.cityoflompoc.com/transit/,1651,70200019,40,"55,666",485,"Lompoc, CA",,"51,509","4,816",11,,23,23,,,Y,Y,"busfixedroute, paratransit",,Y,N,N,Y,"age65over, disabled, medicare, ADAcard, studentk-12, age0-5",age0-5 free,Y,1hr,N,,,,"10ride, monthly",,,,"onboardbus, mail, vendor","cash, check",customcard,,,,,1.25,1.25,11.25,40,,https://www.cityoflompoc.com/home/showdocument?id=29896,4,,,,,Y,https://www.cityoflompoc.com/government/departments/public-works/transportation/city-of-lompoc-transit#ada,,,,,,,,,,,,,,,,,,,NTD,Santa Barbara,542002,Santa Barbara County Association of Governments,Santa Barbara County Association of Governments,Santa Barbara County Association of Governments,5,05 - San Luis Obispo,"100 Civic Center Plaza, Lompoc, CA, 93436",100 Civic Center Plaza,Lompoc,93436,34.637906,-120.451961
SLO Transit,287,90156,9156,x,,1,Paratransit provided by SLORTA ,"1,028,538",,,,,"1,028,538",,,SLO City SRTP ,2013/2014,https://www.slocity.org/home/showdocument?id=15295,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90156.pdf,"$702,644",,,,,"$702,644",,,,,,San Luis Obispo Area Council of Governments,,Y,,SLO Transit,"San Luis Obispo, City of",,Active,Full Reporter,,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,919 Palm Street,,,,,Rural,San Luis Obispo,CA,93401,,9,https://www.slocity.org/government/department-directory/public-works/slo-transit,1670,829742431,22,"52,576",447,"San Luis Obispo, CA",,"59,219","2,901",20,,10,10,,,Y,Y,busfixedroute,,N,N,Y,Y,"age65-79, age80over, age0-4, studentk-12",age0-4 and age80over are free,Y,1hr,N,,,,"1day, 3day, 5day, 7day, 15ride, 16ride, 31day, regionalday, summeryouth","15ride for senior/disabled only, summeryouth for studentk-12 only",,,"onboardbus, cityhall, vendor, mobile",cash,"customcard, mobile",,,,,1.50,1.5,3.25,38,,https://app.mecatran.com/urb/ws/feed/c2l0ZT1zbG90cmFuc2l0O2NsaWVudD1zZWxmO2V4cGlyZT07dHlwZT1ndGZzO2tleT0zZTMwMzM1OTRiMTE2NzA0N2IxNjQwNjA0ZjQwMGMzMzdiM2E1MTQ0,2,,,Y,N,,,,,,,,,,,,,,,,,,,,,NTD,San Luis Obispo,540004,San Luis Obispo Council of Governments,San Luis Obispo Council of Governments,San Luis Obispo Council of Governments,5,05 - San Luis Obispo,"919 Palm Street, San Luis Obispo, CA, 93401",919 Palm Street,San Luis Obispo,93401,35.28208,-120.662489
Atascadero Dial-A-Ride,22,90194,9194,x,,1,,"7,743",,0,"7,743",0,0,0,6 (cutaway),NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2014/90194.pdf,,"$76,187",,"$53,985",,,"$22,202",,,,,,San Luis Obispo Area Council of Governments,,,,,"Atascadero, City of",,Active,Reduced Reporter,5,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,Department of Public Works,6500 Palma Avenue,,,,Rural,Atascadero,CA,93422,,9,https://atascadero.org/index.php?option=com_content&view=article&id=633&Itemid=1536,6337,120959952,25,"29,134",423,"El Paso de Robles (Paso Robles)-Atascadero, CA",,"65,088","2,070",31,,3,3,,,Y,N,demandresponse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTD,San Luis Obispo,540001,San Luis Obispo Council of Governments,San Luis Obispo Council of Governments,San Luis Obispo Council of Governments,5,05 - San Luis Obispo,"6500 Palma Avenue, Atascadero, CA, 93422",6500 Palma Avenue,Atascadero,93422,35.489809,-120.66708
Paso Express,244,90194,,x,Paso Express is a subsidiary of San Luis Obispo Regional Transit Authority. The Fixed route bus service of RTA includes the Paso Express and South County Area Transit. It also runs Runabout Paratransit and the Avila Beach Trolley,4,reported with San Luis Obispo Regional Transit Authority data,,,,,,,,,,,,,,,,,,,,,,,,San Luis Obispo Area Council of Governments,,O,,,San Luis Obispo Regional Transit Authority,SLORTA,,,,,,,,,,,,,,SLORTA,,Rural,Paso Robles,CA,,,, http://www.slorta.org/schedules-fares/paso-express/,,,,,,,,,,,,,,,,Y,Y,busfixedroute,,N,Y,N,Y,"age65-79, disabled, studentk-12, age80over",age80over free,,,,,,,"1day, storedvalue15, 31day",,,,"onboardbus, online, mobile, vendor","cash, paypal","customcard, mobile",,,,,1.50,3,5.5,68,,http://app.mecatran.com/urb/ws/feed/c2l0ZT1zbG90cmFuc2l0O2NsaWVudD1zZWxmO2V4cGlyZT07dHlwZT1ndGZzO2tleT0zZTMwMzM1OTRiMTE2NzA0N2IxNjQwNjA0ZjQwMGMzMzdiM2E1MTQ0,2,,,Y,N,,,,,Paso Robles Express,"The local bus service, Paso Express Routes A & B, is a fixed-route transit service operating along designated routes within the city. Paso Express is open to the general public, and provides a low-cost transportation alternative. You can board the Paso Express at any designated bus stop in the City.
","hasgtfs, MarcyJaffe",805 - 239 - T R I P,,,,2015-10-29 18:07:06,2018-02-06 17:33:41,Seth Churnside,Y,90194,2,N,,,NTD/Trillium contact,San Luis Obispo,540003,San Luis Obispo Council of Governments,San Luis Obispo Council of Governments,San Luis Obispo Council of Governments,5,05 - San Luis Obispo,"800 Pine Street, Paso Robles, CA, 93446",800 Pine Street,Paso Robles,93446,35.622664,-120.687778
San Luis Obispo Regional Transit Authority,289,90206,9206,x,,1,,"1,174,768",,,"56,236",,"1,118,532",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90206.pdf,,"$1,637,489",,"$171,790",,,"$1,465,699",,,,,,San Luis Obispo Area Council of Governments,,Y,,SLORTA,San Luis Obispo Regional Transit Authority,SLORTA,Active,Full Reporter,,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2017,10/31/2017,179 Cross Street,Suite A,,"Paso Robles Express, SoCo Transit",,Mix,San Luis Obispo,CA,93401,,9,http://www.slorta.org/,6930,125137096,130,"206,008",447,"San Luis Obispo, CA",,"59,219","2,901",20,47,,47,,,Y,Y,"busfixedroute, paratransit, demand response",,Y,N,N,Y,"age65-79, age80over, childunder44in, studentk-12, medicare, disabled, ADAcard",age80over and childunder44in free. Student discount applies to RTA and Paso Express only,?,,,,?,,"1day, 7day, 31day, 20trip",,,,"onboardbus, online, vendor",paypal,customcard,,magstrip,,,1.50,3.25,3,68,,http://app.mecatran.com/urb/ws/feed/c2l0ZT1zbG90cmFuc2l0O2NsaWVudD1zZWxmO2V4cGlyZT07dHlwZT1ndGZzO2tleT0zZTMwMzM1OTRiMTE2NzA0N2IxNjQwNjA0ZjQwMGMzMzdiM2E1MTQ0,2,,,Y,N,Y,http://www.slorta.org/services/runabout-paratransit/,Y,http://www.slorta.org/services/dial-a-ride/,,,,,,,,,,,,,,,,,NTD,San Luis Obispo,540005,San Luis Obispo Council of Governments,San Luis Obispo Council of Governments,San Luis Obispo Council of Governments,5,05 - San Luis Obispo,"179 Cross Street, San Luis Obispo, CA, 93401",179 Cross Street,San Luis Obispo,93401,35.2453,-120.670741
Easy Lift Transportation,100,90243,9243,x,,1,,"74,669",,,"74,669",,,,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90243.pdf,,"$1,037,533",,"$1,037,533",,,,,,,,,,,,,,Easy Lift Transportation,,Active,Reduced Reporter,3,Urban,Private-Non-Profit Corporation,,,,6/30/2017,10/31/2017,53 Cass Place,Suite D,,,,Mix,Goleta,CA,93117,,9,http://www.easylift.org/,1622,55111769,54,"178,200",184,"Santa Barbara, CA",,"195,861","3,507",56,25,,25,,,Y,N,paratransit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTD,Santa Barbara,542014,Santa Barbara County Association of Governments,Santa Barbara County Association of Governments,Santa Barbara County Association of Governments,5,05 - San Luis Obispo,"53 Cass Place, Goleta, CA, 93117",53 Cass Place,Goleta,93117,34.431606,-119.84378
